pC,cn,pH,NPP,map,mat,forest,conifer,relEM,Russula,Tomentella,Inocybe,Solicoccozyma,Cenococcum,Sebacina,Cladophialophora,Umbelopsis,Mycena,Trichoderma,Cortinarius,Lactarius
18.671,26.313,4.717,0.568,1237,5.837,1,1,100,1,1,1,1,1,1,0,1,0,0,1,0
20.469,24.951,4.361,0.568,1237,5.837,1,1,100,1,0,1,1,1,1,0,1,0,1,1,1
17.934,26.535,4.654,0.568,1237,5.837,1,1,100,1,1,1,1,0,1,1,1,0,1,1,1
0.738,9.896,7.34,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,0,0,0,1,0,0
0.738,9.896,8.53,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,0,0,1,0,0,0
0.752,9.9,6.98,0.425,366,9.038,0,0,50.125,0,0,0,0,0,0,0,0,0,1,0,0
0.752,9.9,7.17,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,0,0,0,0,0,0
0.752,9.9,7.18,0.425,366,9.038,0,0,50.125,0,0,0,0,0,0,0,0,0,1,0,0
0.7,9.506,7.26,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,1,0,0,0,0,0
0.7,9.506,7.64,0.425,366,9.038,0,0,50.125,0,0,0,0,0,0,0,0,1,1,0,0
0.7,9.506,7.7,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,0,0,1,1,0,0
0.741,9.577,8.15,0.425,366,9.038,0,0,50.125,0,0,0,0,0,0,0,0,0,1,0,0
0.67,9.6,7.28,0.425,366,9.038,0,0,50.125,0,0,0,0,0,0,1,0,0,1,0,0
0.69,8.6,7.44,0.425,366,9.038,0,0,50.125,0,0,0,1,0,0,0,0,0,0,0,0
0.49,22.5,4.93,0.856,1218,22.104,0,1,100,1,1,0,0,0,0,0,0,0,1,0,0
0.86,24.4,4.91,0.856,1218,22.104,0,1,100,1,1,1,0,0,0,0,0,0,1,1,0
1.087,24.135,4.816,0.856,1218,22.104,0,1,100,1,1,1,0,1,0,0,0,0,1,0,0
1.72,25.73,4.509,0.856,1218,22.104,0,1,100,1,0,0,0,0,0,0,0,0,1,0,0
2,33.5,4.64,0.856,1218,22.104,0,1,100,1,1,0,0,0,0,0,0,0,0,0,0
3.46,32.5,4.56,0.856,1218,22.104,0,1,100,1,0,0,0,0,0,0,0,0,1,0,0
2.045,23.36,4.433,0.856,1218,22.104,0,1,100,1,0,0,0,0,0,0,0,0,1,0,0
2.13,23.9,4.43,0.856,1218,22.104,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0
2.5,22.6,4.41,0.856,1218,22.104,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0
0.27,14.6,5.15,0.856,1218,22.104,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0
0.999,18.952,4.996,0.856,1218,22.104,0,1,100,0,0,0,0,0,0,0,0,0,1,0,0
2.33,19.9,4.569,0.627,1108,7.458,1,1,100,1,0,1,0,0,0,0,1,0,0,1,1
10.417,23.716,4.569,0.627,1108,7.458,1,1,100,1,1,1,0,0,1,1,1,0,1,1,1
5.39,18.5,4.587,0.627,1108,7.458,1,1,100,1,1,0,1,0,1,0,1,0,0,1,1
14.49,29,4.587,0.627,1108,7.458,1,1,100,1,0,1,0,0,1,0,1,0,0,1,1
4.3,19.4,4.629,0.627,1108,7.458,1,1,100,1,0,1,0,0,0,0,0,0,0,0,0
4.73,15.7,4.629,0.627,1108,7.458,1,1,100,1,0,1,0,0,1,0,1,0,1,1,1
13.529,20.677,4.629,0.627,1108,7.458,1,1,100,1,1,1,1,1,1,0,1,0,1,1,1
