"val" "sd" "sigma" "nn"
"hamming-loss" 0.2018 0.0042 0.7 25
"coverage" 6.1852 0.0596 0.7 60
"ranking-loss" 0.1677 0.0036 0.7 40
"F1" 0.6526 0.0065 0.7 45
"macro-F1" 0.4505 0.0083 0.5 25
"micro-F1" 0.6678 0.0058 0.7 45
"macro-AUC" 0.7173 0.0106 0.5 65
"micro-AUC" 0.8451 0.0044 0.5 65
"subset-accuracy" 0.2156 0.0104 0.5 55
"average-precision" 0.7576 0.0061 0.7 30
"val" "sd" "sigma" "nn"
"hamming-loss" 0.2018 0.0042 0.7 25
"coverage" 6.1852 0.0596 0.7 60
"ranking-loss" 0.1677 0.0036 0.7 40
"F1" 0.6526 0.0065 0.7 45
"macro-F1" 0.4505 0.0083 0.5 25
"micro-F1" 0.6678 0.0058 0.7 45
"macro-AUC" 0.7173 0.0106 0.5 65
"micro-AUC" 0.8451 0.0044 0.5 65
"subset-accuracy" 0.2156 0.0104 0.5 55
"average-precision" 0.7576 0.0061 0.7 30
